Type,Parent Type,Full Hierarchy
Tool Bench Work Mate,Tool Stands & Work Tables,Tools > Hand Tools > Tool Stands & Work Tables > Tool Bench Work Mate
Vise Grips,Hand Tools,Tools > Hand Tools > Vise Grips
Locks and Security,Hand Tools,Tools > Hand Tools > Locks and Security
Tap and Die,Hand Tools,Tools > Hand Tools > Tap and Die
Hand Shovel,Hand Tools,Tools > Hand Tools > Hand Shovel
Planters,Hand Tools,Tools > Hand Tools > Planters
Pitchfork,Hand Tools,Tools > Hand Tools > Pitchfork
Hand Truck,Hand Tools,Tools > Hand Tools > Hand Truck
Drill Press (hand),Hand Tools,Tools > Hand Tools > Drill Press (hand)
Staple Guns,Hand Tools,Tools > Hand Tools > Staple Guns
Roofing Stapler,Staple Guns,Tools > Hand Tools > Staple Guns > Roofing Stapler
Manual Staple Guns,Staple Guns,Tools > Hand Tools > Staple Guns > Manual Staple Guns
Tin Snips,Hand Tools,Tools > Hand Tools > Tin Snips
Tube Cutters,Hand Tools,Tools > Hand Tools > Tube Cutters
Pipe Cutters,Hand Tools,Tools > Hand Tools > Pipe Cutters
Lawn Mower,Hand Tools,Tools > Hand Tools > Lawn Mower
Shears,Hand Tools,Tools > Hand Tools > Shears
Grass Shears,Shears,Tools > Hand Tools > Shears > Grass Shears
Metal Shears,Shears,Tools > Hand Tools > Shears > Metal Shears
Trowels & Floats,Hand Tools,Tools > Hand Tools > Trowels & Floats
Notched Trowel,Trowels & Floats,Tools > Hand Tools > Trowels & Floats > Notched Trowel
Trowel,Trowels & Floats,Tools > Hand Tools > Trowels & Floats > Trowel
Brick Trowel,Trowels & Floats,Tools > Hand Tools > Trowels & Floats > Brick Trowel
Corner Trowel,Trowels & Floats,Tools > Hand Tools > Trowels & Floats > Corner Trowel
Grout Trowel,Trowels & Floats,Tools > Hand Tools > Trowels & Floats > Grout Trowel
Margin Trowel,Trowels & Floats,Tools > Hand Tools > Trowels & Floats > Margin Trowel
Tuck Point Trowel,Trowels & Floats,Tools > Hand Tools > Trowels & Floats > Tuck Point Trowel
Float,Trowels & Floats,Tools > Hand Tools > Trowels & Floats > Float
Caulk Guns,Hand Tools,Tools > Hand Tools > Caulk Guns
Conduit Benders,Hand Tools,Tools > Hand Tools > Conduit Benders
Machete,Hand Tools,Tools > Hand Tools > Machete
Sickle,Machete,Tools > Hand Tools > Machete > Sickle
Rivet Tools,Hand Tools,Tools > Hand Tools > Rivet Tools
Squeegees,Hand Tools,Tools > Hand Tools > Squeegees
Dollies,Hand Tools,Tools > Hand Tools > Dollies
Hex Keys,Hand Tools,Tools > Hand Tools > Hex Keys
Mixers & Dispensers,Hand Tools,Tools > Hand Tools > Mixers & Dispensers
Masons Hawk,Mixers & Dispensers,Tools > Hand Tools > Mixers & Dispensers > Masons Hawk
Lawn Care (other),Hand Tools,Tools > Hand Tools > Lawn Care (other)
Watering Tools,Hand Tools,Tools > Hand Tools > Watering Tools
Cultivators,Hand Tools,Tools > Hand Tools > Cultivators
Testers (hand held),Hand Tools,Tools > Hand Tools > Testers (hand held)
Augers & Drain Openers,Hand Tools,Tools > Hand Tools > Augers & Drain Openers
Manual Drain Auger,Augers & Drain Openers,Tools > Hand Tools > Augers & Drain Openers > Manual Drain Auger
Toilet Auger,Augers & Drain Openers,Tools > Hand Tools > Augers & Drain Openers > Toilet Auger
"Files, Awls & Punches",Hand Tools,"Tools > Hand Tools > Files, Awls & Punches"
Files,"Files, Awls & Punches","Tools > Hand Tools > Files, Awls & Punches > Files"
Punches,"Files, Awls & Punches","Tools > Hand Tools > Files, Awls & Punches > Punches"
Awls,"Files, Awls & Punches","Tools > Hand Tools > Files, Awls & Punches > Awls"
Auto Center Punches,"Files, Awls & Punches","Tools > Hand Tools > Files, Awls & Punches > Auto Center Punches"
Rasps,"Files, Awls & Punches","Tools > Hand Tools > Files, Awls & Punches > Rasps"
Center Punches,"Files, Awls & Punches","Tools > Hand Tools > Files, Awls & Punches > Center Punches"
Hoists & Trolleys,Hand Tools,Tools > Hand Tools > Hoists & Trolleys
Chain Hoist,Hoists & Trolleys,Tools > Hand Tools > Hoists & Trolleys > Chain Hoist
