id,name,estimated_cost
3863,"Combination Wrench, 5/8in",15
3864,"Glass Cutter",15
3865,"Open End Wrench, 1/2in, 9/16in",15
3866,"Open End Wrench, 3/8in, 7/16in",15
3867,"Open End Wrench, 10mm, mm",10
3869,"Nut Driver, 7mm",10
3871,"Serge With Confidence",20
3872,"Waffle Iron",20
3874,Easel,20
3875,"Soil Cultivator",40
3876,"Heat Gun",20
3877,"Soldering Gun",25
3878,"Paint Sprayer",50
3883,"Sanding Block",15
3884,"Corded Drill, 1/4in",50
3887,Chisel,15
3888,Cultivator,20
3889,C-clamp,15
3891,"Vacuum Pump",50
3892,"Paint Edger",15
3893,"Multibit Screwdriver",15
3896,"Notched Trowel",15
3910,"Claw Hammer",15
3915,"Claw Hammer",15
3921,"Claw Hammer",15
3923,"Claw Hammer",15
3927,"Hand Saw",15
3928,"Hand Saw",15
3929,"Hand Saw",15
3930,"Hand Saw",15
3935,"Key Hole Saw, Large",15
3938,"Hand Rasp",15
3941,"Square Shovel",20
3942,"Square Shovel",20
3943,"Square Shovel",15
3945,Hoe,20
3946,"Weeder, Winged",15
3947,"Weeder, Winged",15
3948,Sledgehammer,20
3949,Sledgehammer,40
3950,Mattock,50
3951,Mattock,40
3952,"Post Hole Digger",40
3953,Pitchfork,15
3954,"Hand Saw",15
3956,"Manual Lawn Edger",25
3957,"Soldering Gun",20
3958,"Corded Drill, 1/4in",20
3963,"Reciprocating Saw",50
3964,"Universal Tool Stand",50
3966,"Tie Down, Ratchet",15
3968,"Phillips Screwdriver",10
3969,"Phillips Screwdriver",10
3971,"Phillips Screwdriver",10
3972,"Phillips Screwdriver",15
3973,"Phillips Screwdriver",10
3974,"Phillips Screwdriver",10
3975,"Phillips Screwdriver",10
3976,"Phillips Screwdriver",10
3977,"Phillips Screwdriver",10
3979,"Adjusable Wrench",20
3980,"Adjusable Wrench",15
3981,"Adjusable Wrench",15
3982,"Adjusable Wrench",15
3983,"Adjusable Wrench",15
3985,"Open End Wrench, 3/4in, 7/8in",15
3986,"Open End Wrench, 5/8in, 3/4in",15
3987,"Open End Wrench, 19/32in, 11/16in",15
3988,"Open End Wrench, 1/2in, 9/16in",15
3989,"Open End Wrench, 8mm, 12mm",10
3991,"Pruning Shears",15
3992,"Pruning Shears",15
3996,Level,20
3998,"Combination Wrench, 10mm",15
3999,"Combination Wrench, 8mm",15
4000,"Pipe Wrench",20
