,Membership ID,Confirmed?,Sex,Age,Created,First Membership Started,Current Membership Type,Last Changed,Expiration,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other
3189,185,False,unknown,68,2016-06-11,2016-06-11,regular,2016-06-11,2017-06-11,,,,,,,
3190,3425,False,unknown,38,2021-11-20,2021-11-20,regular,2021-11-20,2022-11-20,,,,,,,
3191,239,True,male,5,2016-07-16,2016-07-16,regular,2016-07-16,2017-07-16,,,,,Y,,
3192,1975,True,unknown,,2019-03-09,2019-03-09,regular,2019-03-09,2020-03-09,,,,,,,
3193,569,False,unknown,,2017-03-27,,Request_CheckIDAddressPhoneDOB,2017-03-26,,,,,,,,
3194,570,False,unknown,,2017-03-27,,Request_CheckIDAddressPhoneDOB,2017-03-26,,,,,,,,
3195,1727,True,unknown,,2018-09-22,2018-09-22,regular,2018-09-22,2019-09-22,,,,,,,
3196,1001,True,unknown,,2017-10-04,2017-10-11,regular,2017-10-11,2018-10-11,,,,,,,
3197,337,False,would rather not say,30,2016-09-28,2016-09-28,regular,2021-10-12,2022-10-12,Y,,,,Y,,
3198,2076,True,would rather not say,-34,2019-04-17,2019-04-16,regular,2022-04-16,2023-04-16,,,,,,,
3199,3600,False,unknown,26,2022-03-12,2022-03-12,regular,2022-03-12,2023-03-12,,,,,Y,,
3200,3008,False,unknown,38,2020-10-30,,Request_CheckIDAddressPhoneDOB,2020-10-30,,,,,,,,
3201,3254,False,unknown,51,2021-08-04,,Request_CheckIDAddressPhoneDOB,2021-08-03,,,,,,,,
3202,97,False,male,52,2016-03-30,2018-04-07,regular,2018-04-07,2019-04-07,,,,,,,
3203,2715,True,unknown,30,2020-01-19,2020-01-21,regular,2021-04-13,2022-04-13,,,,,,,
3204,838,False,male,36,2017-08-02,2017-08-01,regular,2017-08-01,2018-08-01,,,,Y,,,
3205,1124,True,unknown,,2017-12-20,2017-12-19,regular,2017-12-19,2018-12-19,,,,,,,
3206,2859,False,unknown,28,2020-06-06,,Request_CheckIDAddressPhoneDOB,2020-06-06,,,,,,,,
3207,2102,False,unknown,,2019-04-27,2019-04-27,regular,2019-04-27,2020-04-27,,,,,Y,,
3208,2386,False,unknown,37,2019-08-18,2019-08-18,regular,2022-02-19,2023-02-19,,,,,,,
3209,766,False,female,37,2017-06-28,2017-06-28,regular,2017-06-28,2018-06-28,,,,,,,
3210,3256,True,unknown,28,2021-08-04,,Request_CheckIDAddressPhoneDOB,2021-08-04,,,,,,,,
3211,1689,False,unknown,,2018-09-06,,Request_CheckIDAddressPhoneDOB,2018-09-05,,,,,,,,
3212,136,False,male,38,2016-04-30,2016-04-30,regular,2016-04-30,2017-04-30,,,,,,,
3213,1134,False,female,38,2018-01-03,2018-01-03,regular,2018-01-03,2019-01-03,,,,,,,
3214,3421,True,unknown,18,2021-11-15,2021-11-14,regular,2021-11-14,2022-11-14,,,,,,,
3215,1668,True,male,42,2018-08-27,2018-08-26,regular,2019-10-16,2020-08-27,,,,,,,Y
3216,1442,True,unknown,,2018-05-23,2018-05-23,regular,2018-05-23,2019-05-23,,,,,,,
3217,822,True,unknown,,2017-07-26,2017-07-26,regular,2019-10-14,2020-07-26,,,,,,,
3218,1964,False,unknown,,2019-02-28,,Request_CheckIDAddressPhoneDOB,2019-02-27,,,,,,,,
3219,2598,False,female,30,2019-11-11,2019-11-10,regular,2019-11-10,2020-11-10,,,,,,,
3220,2275,False,unknown,,2019-07-01,2019-06-30,regular,2019-06-30,2020-06-30,,,,,,,
3221,2436,False,male,25,2019-09-05,2019-09-04,regular,2019-09-04,2020-09-04,,,,,,,
3222,2795,False,unknown,28,2020-02-23,,Request_CheckIDAddressPhoneDOB,2020-02-23,,,,,,,,
3223,1383,False,female,40,2018-05-02,2020-02-12,regular,2020-02-12,2021-02-12,,,,,,,
3224,513,False,unknown,47,2017-02-13,2017-02-12,regular,2017-02-12,2018-02-12,,,,,,,
3225,558,False,unknown,,2017-03-21,2017-04-05,regular,2022-05-15,2023-05-15,,,,,,,
3226,780,False,unknown,,2017-07-12,,Request_CheckIDAddressPhoneDOB,2017-07-11,,,,,,,,
3227,1021,False,unknown,,2017-10-19,2017-10-18,regular,2017-10-18,2018-10-18,,,,,,,
3228,1998,False,unknown,,2019-03-19,,Request_CheckIDAddressPhoneDOB,2019-03-18,,,,,,,,
3229,3700,False,unknown,41,2022-05-15,,Request_CheckIDAddressPhoneDOB,2022-05-15,,,,,,,,
3230,1296,True,unknown,,2018-03-30,,Request_CheckIDAddressPhoneDOB,2018-03-30,,,,,,,,
3231,2939,True,unknown,42,2020-08-22,,Request_CheckIDAddressPhoneDOB,2020-08-21,,,,,,,,
3232,2531,False,unknown,,2019-10-12,2019-10-12,regular,2019-10-12,2020-10-12,,,,,Y,,
3233,182,True,unknown,39,2016-06-11,2016-06-11,regular,2017-08-19,2018-06-11,,,,,,,
3234,2248,True,male,32,2019-06-19,2019-06-19,regular,2019-06-19,2020-06-19,,,,,,,
3235,2056,False,unknown,,2019-04-07,2019-04-07,regular,2019-04-07,2020-04-07,,,,,,,
3236,1054,True,female,40,2017-11-06,2017-11-05,regular,2017-11-05,2018-11-05,,,,,Y,,
3237,1407,True,unknown,,2018-05-13,,Request_CheckIDAddressPhoneDOB,2018-05-13,,,,,,,,
