Loan ID,Membership ID,Item ID,Item Name,Checked Out,Checked In,Due Date,Check Out Location,Check In Location,Late Fees to Date,Renewal
2167262,2989,4520,Battery Charger,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167257,2989,7009,Claw Hammer,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167256,2989,7413,Cordless Drill With Jigsaw,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167258,2989,7761,Jigsaw,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167259,2989,7100,Corner Level,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167260,2989,7745,Level,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167261,2989,7262,Socket Set,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2806201,176,8754,caulk gun,3/26/2022 11:27 AM,,4/2/2022,,,$1.40,
2806202,176,7622,"Remington 14"" 8 Amp Limb 'N Trim Electric Chainsaw",3/26/2022 11:27 AM,,4/2/2022,,,$1.40,
2806199,176,7378,Hand Saw,3/26/2022 11:27 AM,,4/2/2022,,,$1.40,
2806200,176,8153,"Hand Saw, Narrow",3/26/2022 11:27 AM,,4/2/2022,,,$1.40,
2838402,3652,5110,Auger,4/13/2022 7:07 PM,,4/20/2022,,,$0.00,
2838403,3652,8771,Aerator,4/13/2022 7:10 PM,,4/20/2022,,,$0.00,
2721945,3533,4093,Circular Saw,1/29/2022 11:57 AM,,2/5/2022,,,$7.00,
2721946,3533,6486,"Saw Horse, Folding",1/29/2022 11:57 AM,,2/5/2022,,,$7.00,
2721947,3533,6487,"Saw Horse, Folding",1/29/2022 11:57 AM,,2/5/2022,,,$7.00,
2281383,3086,4934,Corded Drill,3/27/2021 10:14 AM,,4/3/2021,,,$37.80,
1980433,1982,5789,Dado Blade Set,6/25/2020 4:03 PM,,8/1/2020,,,$62.30,Renewal
1980430,1982,593,Lathe,6/25/2020 4:03 PM,,8/1/2020,,,$62.30,Renewal
1980431,1982,6878,Molding Blades Set,6/25/2020 4:03 PM,,8/1/2020,,,$62.30,Renewal
1980432,1982,594,Fence System,6/25/2020 4:03 PM,,8/1/2020,,,$62.30,Renewal
1980436,2283,6906,Drill Bit Set,6/25/2020 4:03 PM,,8/1/2020,,,$62.30,Renewal
1980437,2283,7369,"Drill Bits, Glass",6/25/2020 4:03 PM,,8/1/2020,,,$62.30,Renewal
1980438,2283,6870,Corded Drill,6/25/2020 4:03 PM,,8/1/2020,,,$62.30,Renewal
2167267,2736,7656,Dremel Tool,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167271,2736,4512,Lineman Pliers,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167272,2736,6145,Pliers,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167270,2736,6110,Tubing Bender,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167269,2736,4673,Quick Grip Clamp,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167264,2736,5143,Quick Grip Clamp,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167266,2736,5156,Quick Grip Clamp,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167265,2736,5620,Quick Grip Clamp,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167263,2736,6115,Quick Grip Clamp,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167268,2736,7526,Quick Grip Clamp,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167273,2736,638,Router,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2830806,3427,608,Heat Gun,4/9/2022 10:44 AM,,4/16/2022,,,$0.00,
2167274,1309,6509,Router Bit Set,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167275,1309,6800,Shears,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167276,1309,7341,Bypass Pruner,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167277,1309,6932,Tin Snips,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167278,635,7158,"Combination Wrench, 10mm",11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167279,635,4960,Multimeter,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167280,635,7140,Socket Wrench,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2817939,2980,5082,Belt Sander,4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2817940,2980,4751,Miter Saw,4/2/2022 10:28 AM,,4/9/2022,,,$0.70,
2817938,2980,7874,Drill Press,4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2817941,2980,6893,Extension Cord,4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2817942,2980,8065,Extension Cord,4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2817943,2980,5481,File,4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2817944,2980,8111,File,4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2817937,2980,7251,Hack Saw,4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2817936,2980,5226,"Hand Truck, Convertible",4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2817945,2980,4159,"Open End Wrench, 3/4in, 7/8in",4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2817946,2980,4176,"Open End Wrench, 3/4in, 7/8in",4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2817935,2980,4872,Flex Shaft,4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2817934,2980,606,Work Gloves,4/2/2022 10:28 AM,,4/9/2022,,,$0.70,Renewal
2833136,51,6828,Car Battery Charger,4/11/2022 8:16 AM,,5/7/2022,,,$0.00,Renewal
2833137,51,8331,"Bungee Cord, 36in",4/11/2022 8:16 AM,,5/7/2022,,,$0.00,Renewal
2836029,51,8355,Dehydrator,4/12/2022 6:29 PM,,4/27/2022,,,$0.00,
2836034,51,8739,Storage bin,4/12/2022 6:37 PM,,4/19/2022,,,$0.00,
2167281,1121,602,Paint Tray,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167286,1121,4402,Small Paint Pail,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167282,1121,7390,"Miter Box, With Saw",11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167284,1121,6990,Paint Roller,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167283,1121,5627,"Paint Roller, Small",11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167285,1121,5439,Channel Lock Pliers,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2825000,3641,6490,"Hand Truck, Convertible",4/6/2022 7:18 PM,,4/13/2022,,,$0.30,
2824999,3641,8323,Ratchet Strap,4/6/2022 7:18 PM,,4/13/2022,,,$0.30,
2273058,2107,5259,Bar Clamp,3/20/2021 11:10 AM,,3/27/2021,,,$38.50,Renewal
2273060,2107,7984,Knee Pad,3/20/2021 11:10 AM,,3/27/2021,,,$38.50,Renewal
2273061,2107,7985,Knee Pad,3/20/2021 11:10 AM,,3/27/2021,,,$38.50,Renewal
2273059,2107,221,Chest Waders,3/20/2021 11:10 AM,,3/27/2021,,,$38.50,Renewal
2732315,3508,4059,Drywall Knife,2/6/2022 8:13 PM,,2/13/2022,,,$6.20,Renewal
2732314,3508,8413,Paint Mixer Drill Bit,2/6/2022 8:13 PM,,2/13/2022,,,$6.20,Renewal
2732313,3508,7405,"Sledgehammer, Small",2/6/2022 8:13 PM,,2/13/2022,,,$6.20,Renewal
2167296,586,7259,Extension Cord,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167297,586,494,Power Strip,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2167301,586,7444,Ace Power Strip,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
2838369,3651,6769,Cooler,4/13/2022 6:53 PM,,4/20/2022,,,$0.00,
2838367,3651,6814,Sleeping Pad,4/13/2022 6:53 PM,,4/20/2022,,,$0.00,
2838370,3651,7605,Tarp,4/13/2022 6:53 PM,,4/20/2022,,,$0.00,
2838368,3651,6453,Tent,4/13/2022 6:53 PM,,4/20/2022,,,$0.00,
1980481,2278,441,Bucket,6/25/2020 4:04 PM,,8/1/2020,,,$62.30,Renewal
2833904,3639,8197,Profile Sander Kit,4/11/2022 2:23 PM,,4/20/2022,,,$0.00,Renewal
2833905,3639,6224,"Nail Gun, Pneumatic",4/11/2022 2:23 PM,,4/20/2022,,,$0.00,Renewal
2833906,3639,8038,Stud Finder,4/11/2022 2:23 PM,,4/20/2022,,,$0.00,Renewal
2833907,3639,5448,Level,4/11/2022 2:24 PM,,4/20/2022,,,$0.00,Renewal
2276288,3085,4354,Car Jack,3/23/2021 7:25 PM,,3/30/2021,,,$38.20,
2276291,3085,7274,Mechanics Creep,3/23/2021 7:25 PM,,3/30/2021,,,$38.20,
2276289,3085,7461,Extension Cord,3/23/2021 7:25 PM,,3/30/2021,,,$38.20,
2276293,3085,7927,"Jack Stand, 6 Ton",3/23/2021 7:25 PM,,3/30/2021,,,$38.20,
2276294,3085,7928,"Jack Stand, 6 Ton",3/23/2021 7:25 PM,,3/30/2021,,,$38.20,
2276292,3085,6802,Torque Wrench,3/23/2021 7:25 PM,,3/30/2021,,,$38.20,
2276290,3085,6711,Work Light,3/23/2021 7:25 PM,,3/30/2021,,,$38.20,
2209295,3038,5565,Shopvac Sander,1/16/2021 10:23 AM,,1/23/2021,,,$44.80,
1980491,2228,7036,Allen Wrench Set,6/25/2020 4:04 PM,,8/1/2020,,,$62.30,Renewal
1980490,2228,4965,Multimeter,6/25/2020 4:04 PM,,8/1/2020,,,$62.30,Renewal
2685002,3203,6469,File,12/26/2021 4:35 PM,,1/2/2022,,,$10.40,Renewal
2685003,3203,8109,File,12/26/2021 4:35 PM,,1/2/2022,,,$10.40,Renewal
2446736,3221,7484,Level,7/20/2021 6:09 PM,,7/24/2021,,,$26.60,Renewal
2446737,3221,7762,Quick Grip Clamp,7/20/2021 6:09 PM,,7/24/2021,,,$26.60,Renewal
1980492,2583,600,Paint Sprayer,6/25/2020 4:04 PM,,8/1/2020,,,$62.30,Renewal
1980493,2583,5774,Ladder,6/25/2020 4:04 PM,,8/1/2020,,,$62.30,Renewal
2167308,2227,7657,Circular Saw,11/29/2020 4:32 PM,,12/19/2020,,,$48.30,Renewal
1980496,2374,5183,Hedge Trimmer,6/25/2020 4:04 PM,,8/1/2020,,,$62.30,Renewal
1980497,2374,6842,Extension Cord,6/25/2020 4:04 PM,,8/1/2020,,,$62.30,Renewal
1980498,2374,610,Extension Cord,6/25/2020 4:04 PM,,8/1/2020,,,$62.30,Renewal
1980499,2374,5390,Extendable Lopper,6/25/2020 4:04 PM,,8/1/2020,,,$62.30,Renewal
1980500,2374,609,Safety Glasses,6/25/2020 4:04 PM,,8/1/2020,,,$62.30,Renewal
2264104,3070,6506,Circular Saw,3/13/2021 9:17 AM,,3/20/2021,,,$39.20,
2832791,2205,3849,"Notched Trowel, Small",4/10/2022 6:06 PM,,4/24/2022,,,$0.00,Renewal
2832792,2205,4854,"Notched Trowel, Small",4/10/2022 6:06 PM,,4/24/2022,,,$0.00,Renewal
2832789,2205,5330,Notched Trowel,4/10/2022 6:06 PM,,4/24/2022,,,$0.00,Renewal
