Type,Parent Type,Full Hierarchy
Grass Shears,Shears,Grass Shears -> Shears -> Hand Tools -> Tools
Metal Shears,Shears,Metal Shears -> Shears -> Hand Tools -> Tools
Trowels & Floats,Hand Tools,Trowels & Floats -> Hand Tools -> Tools
Notched Trowel,Trowels & Floats,Notched Trowel -> Trowels & Floats -> Hand Tools -> Tools
Trowel,Trowels & Floats,Trowel -> Trowels & Floats -> Hand Tools -> Tools
Brick Trowel,Trowels & Floats,Brick Trowel -> Trowels & Floats -> Hand Tools -> Tools
Corner Trowel,Trowels & Floats,Corner Trowel -> Trowels & Floats -> Hand Tools -> Tools
Grout Trowel,Trowels & Floats,Grout Trowel -> Trowels & Floats -> Hand Tools -> Tools
Margin Trowel,Trowels & Floats,Margin Trowel -> Trowels & Floats -> Hand Tools -> Tools
Tuck Point Trowel,Trowels & Floats,Tuck Point Trowel -> Trowels & Floats -> Hand Tools -> Tools
Float,Trowels & Floats,Float -> Trowels & Floats -> Hand Tools -> Tools
Caulk Guns,Hand Tools,Caulk Guns -> Hand Tools -> Tools
Conduit Benders,Hand Tools,Conduit Benders -> Hand Tools -> Tools
Machete,Hand Tools,Machete -> Hand Tools -> Tools
Sickle,Machete,Sickle -> Machete -> Hand Tools -> Tools
Rivet Tools,Hand Tools,Rivet Tools -> Hand Tools -> Tools
Squeegees,Hand Tools,Squeegees -> Hand Tools -> Tools
Dollies,Hand Tools,Dollies -> Hand Tools -> Tools
Hex Keys,Hand Tools,Hex Keys -> Hand Tools -> Tools
Mixers & Dispensers,Hand Tools,Mixers & Dispensers -> Hand Tools -> Tools
Masons Hawk,Mixers & Dispensers,Masons Hawk -> Mixers & Dispensers -> Hand Tools -> Tools
Lawn Care (other),Hand Tools,Lawn Care (other) -> Hand Tools -> Tools
Watering Tools,Hand Tools,Watering Tools -> Hand Tools -> Tools
Cultivators,Hand Tools,Cultivators -> Hand Tools -> Tools
Testers (hand held),Hand Tools,Testers (hand held) -> Hand Tools -> Tools
Augers & Drain Openers,Hand Tools,Augers & Drain Openers -> Hand Tools -> Tools
Manual Drain Auger,Augers & Drain Openers,Manual Drain Auger -> Augers & Drain Openers -> Hand Tools -> Tools
Toilet Auger,Augers & Drain Openers,Toilet Auger -> Augers & Drain Openers -> Hand Tools -> Tools
"Files, Awls & Punches",Hand Tools,"Files, Awls & Punches -> Hand Tools -> Tools"
Files,"Files, Awls & Punches","Files -> Files, Awls & Punches -> Hand Tools -> Tools"
Punches,"Files, Awls & Punches","Punches -> Files, Awls & Punches -> Hand Tools -> Tools"
Awl,"Files, Awls & Punches","Awl -> Files, Awls & Punches -> Hand Tools -> Tools"
Auto Center Punches,"Files, Awls & Punches","Auto Center Punches -> Files, Awls & Punches -> Hand Tools -> Tools"
Rasps,"Files, Awls & Punches","Rasps -> Files, Awls & Punches -> Hand Tools -> Tools"
Center Punches,"Files, Awls & Punches","Center Punches -> Files, Awls & Punches -> Hand Tools -> Tools"
Hoists & Trolleys,Hand Tools,Hoists & Trolleys -> Hand Tools -> Tools
Chain Hoist,Hoists & Trolleys,Chain Hoist -> Hoists & Trolleys -> Hand Tools -> Tools
"Scythes, Sickles & Machetes",Hand Tools,"Scythes, Sickles & Machetes -> Hand Tools -> Tools"
Hand Sickle,"Scythes, Sickles & Machetes","Hand Sickle -> Scythes, Sickles & Machetes -> Hand Tools -> Tools"
Scythe,"Scythes, Sickles & Machetes","Scythe -> Scythes, Sickles & Machetes -> Hand Tools -> Tools"
Machete,"Scythes, Sickles & Machetes","Machete -> Scythes, Sickles & Machetes -> Hand Tools -> Tools"
Sharpeners,Hand Tools,Sharpeners -> Hand Tools -> Tools
Finishing Stones,Sharpeners,Finishing Stones -> Sharpeners -> Hand Tools -> Tools
Drywall Tools,Hand Tools,Drywall Tools -> Hand Tools -> Tools
Drywall Tool Sets,Drywall Tools,Drywall Tool Sets -> Drywall Tools -> Hand Tools -> Tools
Joint Knives,Drywall Tools,Joint Knives -> Drywall Tools -> Hand Tools -> Tools
Bucket Scoops,Drywall Tools,Bucket Scoops -> Drywall Tools -> Hand Tools -> Tools
Hammer-End Joint Knives,Bucket Scoops,Hammer-End Joint Knives -> Bucket Scoops -> Drywall Tools -> Hand Tools -> Tools
Taping Knives,Bucket Scoops,Taping Knives -> Bucket Scoops -> Drywall Tools -> Hand Tools -> Tools
Drywall Circle Cutters,Drywall Tools,Drywall Circle Cutters -> Drywall Tools -> Hand Tools -> Tools
Electrical Tools,Hand Tools,Electrical Tools -> Hand Tools -> Tools
Fish Tapes,Electrical Tools,Fish Tapes -> Electrical Tools -> Hand Tools -> Tools
Wire Strippers,Electrical Tools,Wire Strippers -> Electrical Tools -> Hand Tools -> Tools
Plumbing Tools,Hand Tools,Plumbing Tools -> Hand Tools -> Tools
Roof Brackets,Hand Tools,Roof Brackets -> Hand Tools -> Tools
Brace & Bits,Hand Tools,Brace & Bits -> Hand Tools -> Tools
Nail Sets,Hand Tools,Nail Sets -> Hand Tools -> Tools
Jigs,Hand Tools,Jigs -> Hand Tools -> Tools
Pocket Hole Jigs,Jigs,Pocket Hole Jigs -> Jigs -> Hand Tools -> Tools
Dovetail Jigs,Jigs,Dovetail Jigs -> Jigs -> Hand Tools -> Tools
Gear Pullers,Hand Tools,Gear Pullers -> Hand Tools -> Tools
Hand Air Pumps,Hand Tools,Hand Air Pumps -> Hand Tools -> Tools
Plug Cutters,Hand Tools,Plug Cutters -> Hand Tools -> Tools
Paint Can Openers,Hand Tools,Paint Can Openers -> Hand Tools -> Tools
Cleaning Brushes,Hand Tools,Cleaning Brushes -> Hand Tools -> Tools
Wire Brushes,Cleaning Brushes,Wire Brushes -> Cleaning Brushes -> Hand Tools -> Tools
House Wash Brushes,Cleaning Brushes,House Wash Brushes -> Cleaning Brushes -> Hand Tools -> Tools
Pipe Brushes,Cleaning Brushes,Pipe Brushes -> Cleaning Brushes -> Hand Tools -> Tools
Woodworking Kits,Hand Tools,Woodworking Kits -> Hand Tools -> Tools
Pickaxes & Mattocks,Hand Tools,Pickaxes & Mattocks -> Hand Tools -> Tools
Pickaxes,Pickaxes & Mattocks,Pickaxes -> Pickaxes & Mattocks -> Hand Tools -> Tools
Cutter Mattocks,Pickaxes & Mattocks,Cutter Mattocks -> Pickaxes & Mattocks -> Hand Tools -> Tools
Pick Mattocks,Pickaxes & Mattocks,Pick Mattocks -> Pickaxes & Mattocks -> Hand Tools -> Tools
Grubber Mattocks,Pickaxes & Mattocks,Grubber Mattocks -> Pickaxes & Mattocks -> Hand Tools -> Tools
Power Tools,Tools,Power Tools -> Tools
Corded & Plug-in,Power Tools,Corded & Plug-in -> Power Tools -> Tools
Power Drills,Corded & Plug-in,Power Drills -> Corded & Plug-in -> Power Tools -> Tools
Power Drill 1/2in,Power Drills,Power Drill 1/2in -> Power Drills -> Corded & Plug-in -> Power Tools -> Tools
Power Drill 3/8in,Power Drills,Power Drill 3/8in -> Power Drills -> Corded & Plug-in -> Power Tools -> Tools
Hammer Drills,Power Drills,Hammer Drills -> Power Drills -> Corded & Plug-in -> Power Tools -> Tools
Power Saws,Corded & Plug-in,Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Radial Chop Saws,Power Saws,Radial Chop Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Chop Saws,Power Saws,Chop Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Circular Saws,Power Saws,Circular Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Worm Drive Circular Saws,Circular Saws,Worm Drive Circular Saws -> Circular Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Scroller Power Saws,Power Saws,Scroller Power Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Corded Miter Saws,Power Saws,Corded Miter Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Compound Miter Saw,Corded Miter Saws,Compound Miter Saw -> Corded Miter Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Sliding Compound Miter Saws,Corded Miter Saws,Sliding Compound Miter Saws -> Corded Miter Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Jig Saws,Power Saws,Jig Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Radial Arm Saw,Power Saws,Radial Arm Saw -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Table Saws,Power Saws,Table Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Wet Tile Saws,Power Saws,Wet Tile Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Band Saws,Power Saws,Band Saws -> Power Saws -> Corded & Plug-in -> Power Tools -> Tools
Corded Mowers,Corded & Plug-in,Corded Mowers -> Corded & Plug-in -> Power Tools -> Tools
Corded Trimmers,Corded & Plug-in,Corded Trimmers -> Corded & Plug-in -> Power Tools -> Tools
