Item ID,Item Type,Name,Additional Image,Agreement that must be signed to checkout the item,Amount / Fee,Attachment,Author,Between Buffer Days,Categories,Color,Condition,Daily Late Fee,Date Purchased,Default Loan Length,Description,Dimensions (WxHxD),Eco Rating,Embodied Carbon,Emission Factor,Featured,Floating,Goes Home,Grace period on late fees (in days),Historical Cost,Image,Keywords,Location Code,Maintenance Plans,Manufacturer,Max Frequency,Max Frequency Units,Max Output,Maximum number of renewals,Maximum number that may be reserved,Maximum percentage of inventory that may be reserved,Maximum Reservation Length,Min Frequency,Min Frequency Units,Model,Now Buffer Days,Price to Purchase,Product Code / UPC,Publisher,Purchased,Replacement Cost,Serial Number,Size,Source / Supplier,Tax(es),Transfer Buffer Days,Weight,Date Created,Date Last Edited,Date Last Updated,Wish List,In Maintenance,Shop Use Only,Disabled
7770,Network Cables,Telephone/DSL Cable,,,,,,0,,,4.0,0.1,,14,<p>RJ-11 cable for DSL modem or telephone</p>,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/---/image/16005393322495858171097208894918-ECC1562E-854F-3E95-055D-815BCBF1A27A.jpg,frozenset({''}),F 2.3,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2020-09-19 11:15:50-07:00,2023-07-17T07:03:06.000Z,2023-07-17T00:03:06.000-07:00,False,False,False,False
7771,Video Adapters,Micro-HDMI To VGA Adapter,https://myturn-prod-attachments.s3.amazonaws.com/6/66/item/---/image_attachment/16005399820371615208526655099794-4C84E918-1893-1CC7-54CF-98A7E8D49C7A.jpg,,,,,0,,,4.0,0.1,,14,<p>Micro hdmi laptop to vga monitor adapter</p>,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/---/image/16005399591785815163913637107133-8C4A43EF-D43E-F854-E739-3FD59A7E7A59.jpg,frozenset({''}),F 4.15,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2020-09-19 11:27:04-07:00,2023-07-17T07:03:06.000Z,2023-07-17T00:03:06.000-07:00,False,False,False,False
7774,Electronics,"Solar Panel, Small",https://myturn-prod-attachments.s3.amazonaws.com/6/66/item/---/image_attachment/16005415722725865988097969333603-3CFC3094-D9E6-7DDE-7709-8153B9D7E183.jpg,,,,,0,Electrical and Soldering,,3.0,0.1,,14,<p>Small solar panel</p>,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/---/image/16005415405764298331254385662401-EFEC64AB-7EF3-57E4-4460-BDE4B41B6975.jpg,frozenset({''}),F 2.2,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2020-09-19 11:53:15-07:00,2023-07-17T07:03:06.000Z,2023-07-17T00:03:06.000-07:00,False,False,False,False
7777,Pipe Wrenches,Pipe Wrench,,,0,,,0,Plumbing,,3.0,0.1,,14,"<p>Size 18""</p>",,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/---/image/1601139218695476596510853478619-69B9B1AC-04F9-6D8A-CD59-0887B01EE6B4.jpg,"frozenset({'', 'stillson', 'monkey'})",E 1.3,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2020-09-26 09:54:01-07:00,2022-09-19T05:20:42.000Z,2022-09-18T22:20:42.000-07:00,False,False,False,False
7778,Pipe Wrenches,Pipe Wrench,,,0,,,0,Plumbing,,3.0,0.1,,14,<p>Size 14</p>,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/---/image/16011394040684340905545440816962-05E23F7D-BE57-D2B7-EABF-0C7AAC883387.jpg,"frozenset({'', 'stillson', 'monkey'})",E 1.3,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2020-09-26 09:57:07-07:00,2022-09-19T05:20:42.000Z,2022-09-18T22:20:42.000-07:00,False,False,False,False
7779,Pipe Wrenches,Pipe Wrench,,,0,,,0,Plumbing,,3.0,0.1,,14,<p>Size 10</p>,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/---/image/16011395284805564735581616455761-6BBD980E-4326-D89C-39B1-E4E66E13D240.jpg,"frozenset({'', 'stillson', 'monkey'})",E 1.3,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2020-09-26 09:59:22-07:00,2022-09-19T05:20:42.000Z,2022-09-18T22:20:42.000-07:00,False,False,False,False
7783,Pipe Wrenches,Pipe Wrench,,,0,,,0,Plumbing,,3.0,0.1,,14,,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/---/image/16011404889763966071853421277081-C7D1BB71-B919-98B2-D07E-6055B783D6CD.jpg,"frozenset({'', 'stillson', 'monkey'})",E 1.3,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2020-09-26 10:15:11-07:00,2022-09-19T05:20:43.000Z,2022-09-18T22:20:43.000-07:00,False,False,False,False
7787,Flat Screwdrivers,Flat Screwdriver,,,0,,,0,,,3.0,0.1,,14,,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/---/image/16011420013018827453303416894733-70B21BC5-5821-61C9-42C9-451B025B974E.jpg,frozenset({'flathead'}),E 1.2,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2020-09-26 10:41:37-07:00,2022-09-19T05:20:43.000Z,2022-09-18T22:20:43.000-07:00,False,False,False,False
7790,Flat Screwdrivers,Flat Screwdriver,,,0,,,0,,,3.0,0.1,,14,,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/---/image/16011428625902912265045121018787-9020EE7B-3901-33A1-F87B-0FAE52A3381A.jpg,frozenset({'flathead'}),Upstairs - Overflow,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2020-09-26 10:54:39-07:00,2023-07-14T02:12:04.000Z,2023-07-13T19:12:04.000-07:00,False,False,False,False
7794,Flat Screwdrivers,Flat Screwdriver,,,0,,,0,,,3.0,0.1,,14,,,,,,N,Y,N,0,,https://myturn-prod-images-in.s3.amazonaws.com/6/66/item/---/image/16011431656692903157506373001816-6D77BE0E-5C8F-C92C-736C-ADF5BDD5D3BA.jpg,frozenset({'flathead'}),Upstairs - Overflow,,,,,,1,,,7,,,,0,,,,,,,,,,0,,2020-09-26 10:59:38-07:00,2023-07-14T02:13:03.000Z,2023-07-13T19:13:03.000-07:00,False,False,False,False
