index,Membership ID,Item ID,Checked Out,Checked In,Due Date,Late Fees To Date,Renewals
6279,1606,6789,2019-04-27 11:21:00,2019-05-05 16:28:00,2019-05-04,0.0,0
6276,1606,6899,2019-04-27 11:21:00,2019-05-05 16:28:00,2019-05-04,0.0,0
3719,1606,6944,2021-02-06 11:42:00,2021-04-13 20:12:00,2021-02-13,0.0,0
5044,1606,7200,2018-12-29 11:47:00,2019-01-12 10:31:00,2019-01-14,0.0,1
6270,1606,7205,2019-02-23 11:07:00,2019-03-06 20:32:00,2019-03-10,0.0,1
6275,1606,7275,2019-03-31 18:49:00,2019-04-27 11:21:00,2019-04-07,0.0,0
6282,1606,7283,2019-04-27 11:21:00,2019-05-05 16:28:00,2019-05-04,0.0,0
6271,1606,7294,2019-02-23 11:07:00,2019-03-06 20:32:00,2019-03-10,0.0,1
6285,1606,7338,2019-09-15 17:37:00,2019-10-19 11:06:00,2019-10-13,0.0,1
3717,1606,7739,2021-02-06 11:42:00,2021-03-20 09:41:00,2021-02-13,0.0,0
3720,1606,7992,2021-03-20 09:41:00,2021-04-13 20:12:00,2021-03-27,0.0,0
665,1607,437,2018-08-12 17:20:00,2018-08-19 16:17:00,2018-08-19,0.0,0
664,1607,3743,2018-08-12 17:20:00,2018-08-19 16:17:00,2018-08-19,0.0,0
667,1607,3790,2018-08-29 19:08:00,2018-09-12 20:09:00,2018-09-12,0.0,1
670,1607,4744,2018-09-29 11:49:00,2018-10-09 17:21:00,2018-10-06,0.0,0
669,1607,4844,2018-09-29 11:49:00,2018-10-09 17:21:00,2018-10-06,0.0,0
660,1607,4958,2018-08-01 20:43:00,2018-08-08 20:24:00,2018-08-08,0.0,0
662,1607,5075,2018-08-08 20:43:00,2018-08-19 16:17:00,2018-08-19,0.0,1
661,1607,5183,2018-08-08 20:43:00,2018-08-12 16:10:00,2018-08-15,0.0,0
666,1607,5395,2018-08-12 17:20:00,2018-08-19 16:17:00,2018-08-19,0.0,0
522,161,155,2016-06-19 16:17:00,2016-07-20 20:13:00,2016-06-26,0.0,0
2719,161,397,2018-04-28 09:49:00,2018-05-05 11:09:00,2018-05-05,0.0,0
524,161,673,2016-06-19 16:21:00,2016-07-20 20:13:00,2016-06-26,0.0,0
523,161,4138,2016-06-19 16:21:00,2016-07-20 20:13:00,2016-06-26,0.0,0
521,161,4711,2016-06-04 10:37:00,2016-06-19 16:17:00,2016-06-11,0.0,0
3314,161,4780,2019-10-16 17:51:00,2019-10-26 09:50:00,2019-10-23,0.0,0
2720,161,5103,2018-04-28 09:49:00,2018-05-05 11:09:00,2018-05-05,0.0,0
3310,161,6249,2019-10-16 17:51:00,2019-10-26 09:50:00,2019-10-23,0.0,0
3312,161,6306,2019-10-16 17:51:00,2019-10-26 09:50:00,2019-10-23,0.0,0
2718,161,6499,2018-04-28 09:49:00,2018-05-05 11:09:00,2018-05-05,0.0,0
3311,161,6645,2019-10-16 17:51:00,2019-10-26 09:50:00,2019-10-23,0.0,0
3313,161,6841,2019-10-16 17:51:00,2019-10-26 09:50:00,2019-10-23,0.0,0
3309,161,7474,2019-10-16 17:51:00,2019-10-26 09:50:00,2019-10-23,0.0,0
2603,1610,4331,2018-08-04 10:02:00,2018-08-19 16:53:00,2018-08-19,0.0,1
2602,1610,6480,2018-08-04 10:02:00,2018-08-19 16:53:00,2018-08-19,0.0,1
276,1611,5800,2018-08-04 10:31:00,2018-08-19 17:27:00,2018-08-25,0.0,2
5510,1612,277,2019-07-20 11:12:00,2019-08-03 10:45:00,2019-08-03,0.0,1
4477,1612,4490,2018-08-11 11:52:00,2018-08-25 11:50:00,2018-08-25,0.0,1
4479,1612,4490,2018-09-01 10:41:00,2018-09-15 11:51:00,2018-09-15,0.0,1
5511,1612,4813,2019-07-20 11:12:00,2019-08-03 10:45:00,2019-08-03,0.0,1
5512,1612,7315,2019-07-20 11:12:00,2019-08-03 10:45:00,2019-08-03,0.0,1
2288,1613,5395,2018-08-19 16:43:00,2018-08-28 18:23:00,2018-08-26,0.0,0
2289,1613,6844,2018-08-19 16:43:00,2018-08-28 18:23:00,2018-08-26,0.0,0
3525,1614,3948,2018-11-03 09:32:00,2018-11-03 10:58:00,2018-11-10,0.0,0
3518,1614,4431,2018-08-18 09:03:00,2018-09-02 18:03:00,2018-08-25,0.0,0
3517,1614,4634,2018-08-11 10:50:00,2018-08-18 09:00:00,2018-08-18,0.0,0
3519,1614,4795,2018-08-18 09:03:00,2018-09-02 18:03:00,2018-08-25,0.0,0
3520,1614,4795,2018-11-03 09:32:00,2018-11-03 10:58:00,2018-11-10,0.0,0
3522,1614,4797,2018-11-03 09:32:00,2018-11-03 10:58:00,2018-11-10,0.0,0
3516,1614,5001,2018-08-04 12:05:00,2018-08-11 10:50:00,2018-08-11,0.0,0
3521,1614,5001,2018-11-03 09:32:00,2018-11-03 10:58:00,2018-11-10,0.0,0
3523,1614,5616,2018-11-03 09:32:00,2018-11-03 10:58:00,2018-11-10,0.0,0
3524,1614,6969,2018-11-03 09:32:00,2018-11-03 10:58:00,2018-11-10,0.0,0
2194,1615,139,2018-09-16 18:11:00,2018-09-23 18:52:00,2018-09-23,0.0,0
2198,1615,289,2018-09-16 18:11:00,2018-09-23 18:52:00,2018-09-23,0.0,0
2195,1615,521,2018-09-16 18:11:00,2018-09-23 18:52:00,2018-09-23,0.0,0
2196,1615,522,2018-09-16 18:11:00,2018-09-23 18:52:00,2018-09-23,0.0,0
2197,1615,4624,2018-09-16 18:11:00,2018-09-23 18:52:00,2018-09-23,0.0,0
2200,1615,5267,2018-10-13 10:13:00,2018-10-14 17:12:00,2018-10-20,0.0,0
2199,1615,5652,2018-09-16 18:11:00,2018-09-23 18:52:00,2018-09-23,0.0,0
3371,1616,5856,2018-08-05 19:26:00,2018-08-19 17:16:00,2018-08-12,0.0,0
281,1617,4634,2018-09-22 09:12:00,2018-09-22 09:51:00,2018-09-29,0.0,0
45,1618,5405,2018-08-25 11:26:00,2018-09-09 16:20:00,2018-09-01,0.0,0
43,1618,6817,2018-08-07 17:13:00,2018-08-25 11:19:00,2018-08-21,0.0,1
3606,1620,105,2018-08-07 17:07:00,2018-08-19 18:21:00,2018-08-14,0.0,0
3605,1620,4288,2018-08-07 17:07:00,2018-08-19 18:21:00,2018-08-14,0.0,0
3607,1620,4634,2018-09-23 16:38:00,2018-09-23 16:48:00,2018-09-30,0.0,0
187,1621,436,2019-10-05 09:39:00,2019-10-27 16:28:00,2019-10-21,0.0,2
183,1621,499,2019-10-05 09:39:00,2020-01-07 18:33:00,2019-11-03,0.0,3
180,1621,574,2019-10-05 09:39:00,2019-10-27 16:28:00,2019-10-21,0.0,2
166,1621,4138,2019-01-05 09:26:00,2019-09-24 10:20:00,2019-03-30,0.0,2
181,1621,4138,2019-10-05 09:39:00,2020-01-07 18:33:00,2019-11-03,0.0,3
179,1621,4354,2019-10-05 09:39:00,2019-10-27 16:28:00,2019-10-21,0.0,2
184,1621,5101,2019-10-05 09:39:00,2019-10-27 16:28:00,2019-10-21,0.0,2
185,1621,5103,2019-10-05 09:39:00,2019-10-27 16:28:00,2019-10-21,0.0,2
170,1621,5333,2019-01-05 09:26:00,2019-03-23 09:41:00,2019-02-02,0.0,1
165,1621,5442,2019-01-05 09:26:00,2019-03-23 09:41:00,2019-02-02,0.0,1
167,1621,5628,2019-01-05 09:26:00,2019-03-23 09:41:00,2019-02-02,0.0,1
182,1621,5628,2019-10-05 09:39:00,2020-01-07 18:33:00,2019-11-03,0.0,3
188,1621,5666,2019-10-05 09:39:00,2019-10-27 16:28:00,2019-10-21,0.0,2
169,1621,7098,2019-01-05 09:26:00,2019-03-23 09:41:00,2019-02-02,0.0,1
168,1621,7224,2019-01-05 09:26:00,2019-03-23 09:41:00,2019-02-02,0.0,1
186,1621,7275,2019-10-05 09:39:00,2019-10-27 16:28:00,2019-10-21,0.0,2
178,1621,7387,2019-10-05 09:39:00,2020-01-07 18:33:00,2019-11-03,0.0,3
1860,1622,273,2018-08-11 11:45:00,2018-09-01 11:41:00,2018-09-02,0.0,2
1857,1622,662,2018-08-11 11:34:00,2018-09-01 11:41:00,2018-09-02,0.0,2
1856,1622,4681,2018-08-11 11:34:00,2018-09-01 11:41:00,2018-09-02,0.0,2
1859,1622,4826,2018-08-11 11:34:00,2018-09-01 11:41:00,2018-09-02,0.0,2
1858,1622,6506,2018-08-11 11:34:00,2018-09-01 11:41:00,2018-09-02,0.0,2
1102,1623,303,2018-08-08 19:44:00,2018-08-15 20:42:00,2018-08-22,0.0,1
1224,1623,5505,2019-08-07 20:48:00,2019-08-12 19:50:00,2019-08-14,0.0,0
1226,1623,6769,2019-08-07 20:51:00,2019-08-12 19:50:00,2019-08-14,0.0,0
1103,1623,6814,2018-08-08 19:44:00,2018-08-15 20:42:00,2018-08-22,0.0,1
1225,1623,6814,2019-08-07 20:48:00,2019-08-12 19:50:00,2019-08-14,0.0,0
1104,1623,6815,2018-08-08 19:44:00,2018-08-15 20:42:00,2018-08-22,0.0,1
53,1624,2531,2018-08-08 19:43:00,2018-08-15 18:19:00,2018-08-15,0.0,0
97,1624,3753,2019-07-14 17:19:00,2019-07-28 17:56:00,2019-08-01,0.0,2
102,1624,4052,2019-07-28 18:04:00,2019-08-11 18:23:00,2019-08-11,0.0,1
96,1624,5853,2019-07-14 17:19:00,2019-07-28 17:56:00,2019-08-01,0.0,2
3466,1625,281,2018-08-08 20:47:00,2018-08-22 19:19:00,2018-08-22,0.0,1
3469,1625,4764,2018-08-08 20:47:00,2018-08-22 19:19:00,2018-08-22,0.0,1
3471,1625,4780,2018-08-08 20:47:00,2018-08-22 19:19:00,2018-08-22,0.0,1
3470,1625,5405,2018-08-08 20:47:00,2018-08-22 19:19:00,2018-08-22,0.0,1
3473,1625,5410,2018-08-08 20:47:00,2018-08-22 19:19:00,2018-08-22,0.0,1
3474,1625,5578,2018-08-08 20:47:00,2018-08-22 19:19:00,2018-08-22,0.0,1
3472,1625,5630,2018-08-08 20:47:00,2018-08-22 19:19:00,2018-08-22,0.0,1
3468,1625,6249,2018-08-08 20:47:00,2018-08-22 19:19:00,2018-08-22,0.0,1
3467,1625,6716,2018-08-08 20:47:00,2018-08-22 19:19:00,2018-08-22,0.0,1
3464,1625,6856,2018-08-08 20:47:00,2018-08-22 19:19:00,2018-08-22,0.0,1
3465,1625,6960,2018-08-08 20:47:00,2018-08-22 19:19:00,2018-08-22,0.0,1
4693,1626,6388,2019-06-04 18:08:00,2019-06-05 18:03:00,2019-06-11,0.0,0
4690,1626,6490,2019-04-24 19:56:00,2019-05-07 19:04:00,2019-05-08,0.0,1
4689,1626,7375,2019-04-24 19:56:00,2019-05-07 19:04:00,2019-05-08,0.0,1
2699,1627,170,2023-07-09 18:03:00,2023-07-15 11:52:00,2023-07-16,0.0,0
2700,1627,171,2023-07-09 18:03:00,2023-07-15 11:52:00,2023-07-16,0.0,0
2709,1627,827,2023-07-09 18:03:00,2023-07-15 11:52:00,2023-07-16,0.0,0
