Item Type,Types Of Items,Item Count,Disabled Item Count,Active Item Count,Max Checked Out,Max Checked Out Date,Utilization
Machete,2,4,2,2,2,2022-02-09 20:47:00,100.0
Sharpeners,2,15,5,10,14,2024-01-04 19:10:00,140.0
Finishing Stones,1,9,2,7,12,2024-01-04 19:10:00,171.4
Drywall Tools,5,44,21,23,7,2017-10-04 21:08:00,30.4
Drywall Tool Sets,1,1,1,0,1,2022-07-16 09:44:00,inf
Joint Knives,1,5,3,2,2,2020-10-10 11:29:00,100.0
Bucket Scoops,3,18,11,7,3,2019-03-25 18:50:00,42.9
Taping Knives,1,12,6,6,3,2019-03-25 18:50:00,50.0
Electrical Tools,3,64,22,42,13,2024-01-23 19:47:00,31.0
Fish Tapes,1,2,0,2,3,2024-01-23 19:47:00,150.0
Wire Strippers,1,32,9,23,5,2023-08-22 20:56:00,21.7
Nail Sets,1,3,0,3,0,,0.0
Jigs,3,10,7,3,2,2022-09-06 20:10:00,66.7
Pocket Hole Jigs,1,4,4,0,1,2018-03-31 11:35:00,inf
Dovetail Jigs,1,1,1,0,0,,
Gear Pullers,1,7,1,6,4,2022-04-19 18:45:00,66.7
Hand Air Pumps,1,4,0,4,1,2022-06-08 18:17:00,25.0
Plug Cutters,1,2,0,2,1,2017-01-18 20:20:00,50.0
Paint Can Openers,1,5,0,5,1,2018-03-14 16:15:00,20.0
Cleaning Brushes,4,9,4,5,3,2024-01-23 19:03:00,60.0
Wire Brushes,1,4,1,3,1,2016-09-14 20:15:00,33.3
Woodworking Kits,1,4,0,4,1,2022-12-17 11:36:00,25.0
Pickaxes & Mattocks,5,11,5,6,5,2019-06-01 11:31:00,83.3
Pickaxes,1,7,4,3,3,2017-07-12 18:05:00,100.0
Pick Mattocks,1,3,0,3,2,2019-06-01 09:53:00,66.7
Power Tools,8,44,15,29,23,2024-01-18 18:59:00,79.3
Corded & Plug-in,40,260,134,126,116,2024-01-23 20:59:00,92.1
Power Drills,4,69,36,33,40,2024-01-10 20:37:00,121.2
Power Drill 1/2in,1,2,1,1,2,2022-08-06 10:28:00,200.0
Power Drill 3/8in,1,17,5,12,14,2023-12-23 12:11:00,116.7
Hammer Drills,1,3,3,0,2,2017-06-17 09:26:00,inf
Power Saws,11,127,56,71,50,2024-01-23 20:53:00,70.4
Circular Saws,2,43,22,21,22,2024-01-15 19:55:00,104.8
Scroller Power Saws,1,9,3,6,3,2024-01-18 18:57:00,50.0
Corded Miter Saws,3,14,9,5,6,2018-07-25 20:53:00,120.0
Compound Miter Saw,1,1,1,0,0,,
Jig Saws,1,42,14,28,20,2024-01-23 20:53:00,71.4
Table Saws,1,10,5,5,3,2020-01-18 11:34:00,60.0
Wet Tile Saws,1,7,4,3,4,2018-05-19 10:20:00,133.3
Band Saws,1,2,0,2,1,2016-10-23 18:18:00,50.0
Corded Trimmers,4,11,5,6,5,2022-08-06 10:49:00,83.3
Electric Hedge Trimmers,1,5,3,2,3,2019-09-11 19:01:00,150.0
