,Membership ID,Confirmed?,Sex,Age,Created,First Membership Started,Current Membership Type,Last Changed,Expiration,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other
3326,2080,True,unknown,,2019-04-19,2019-04-20,regular,2019-04-21,2020-04-20,,,,,,,
3327,2009,False,unknown,,2019-03-21,,Request_CheckIDAddressPhoneDOB,2019-03-20,,,,,,,,
3328,991,True,female,,2017-10-01,2017-10-01,regular,2018-12-02,2019-10-01,,,,,,,
3329,684,False,male,,2017-05-21,2017-05-21,regular,2020-02-29,2021-02-28,,,,,Y,,
3330,2121,False,unknown,,2019-05-04,2019-05-04,regular,2019-05-04,2020-05-04,,,,,,,
3331,4126,False,unknown,,2022-11-04,,Request_CheckIDAddressPhoneDOB,2022-11-04,,,,,,,,
3332,164,False,unknown,,2016-05-22,2016-05-22,regular,2016-05-22,2017-05-22,,,,,,,
3333,1587,True,unknown,,2018-07-22,2018-07-22,regular,2021-09-21,2022-09-21,,,,,,,
3334,4371,True,unknown,42,2023-03-05,,Request_CheckIDAddressPhoneDOB,2023-03-05,,,,,,,,
3335,4669,True,unknown,53,2023-06-04,2023-06-07,regular,2023-06-07,2024-06-07,,,,,,,
3336,3039,True,male,,2021-01-22,,Request_CheckIDAddressPhoneDOB,2021-01-22,,,,,,,,
3337,4017,True,unknown,,2022-09-13,,Request_CheckIDAddressPhoneDOB,2022-09-12,,,,,,,,
3338,5016,True,unknown,,2023-09-16,2023-09-16,regular,2023-09-16,2024-09-16,,,,,,,
3339,3735,False,unknown,,2022-06-02,,Request_CheckIDAddressPhoneDOB,2022-06-02,,,,,,,,
3340,842,False,unknown,,2017-08-02,2017-08-02,regular,2017-08-02,2018-08-02,,,,,,,
3341,3636,True,unknown,,2022-04-04,,Request_CheckIDAddressPhoneDOB,2022-04-03,,,,,,,,
3342,227,False,unknown,,2016-07-10,2016-07-10,regular,2016-07-10,2017-07-10,,,,,,,
3343,180,False,male,,2016-06-05,2016-06-05,regular,2016-06-05,2017-06-05,,,,,,,
3344,3877,True,unknown,,2022-07-21,2022-07-20,regular,2022-07-20,2023-07-20,,,,,,,
3345,3195,False,unknown,,2021-06-16,2021-06-15,regular,2021-06-15,2022-06-15,,,,,,,
3346,4344,True,unknown,,2023-02-25,2023-02-25,regular,2023-02-25,2024-02-25,,,,,,,
3347,1218,True,unknown,,2018-02-17,2018-02-17,regular,2020-08-29,2021-08-29,,,,,,,
3348,1444,True,male,,2018-05-23,2018-05-23,regular,2018-05-23,2019-05-23,,,,,,,
3349,923,False,unknown,,2017-09-03,2017-09-03,regular,2017-09-03,2018-09-03,,,,,,,
3350,3992,True,unknown,,2022-09-01,2022-08-31,regular,2022-08-31,2023-08-31,,,,,,,
3351,5081,False,male,39,2023-10-07,2023-10-07,regular,2023-10-07,2024-10-07,,,,,,,
3352,4087,False,unknown,30,2022-10-15,2022-10-15,regular,2022-10-15,2023-10-15,,,,,,,
3353,555,True,male,,2017-03-20,2017-03-19,regular,2024-01-11,2025-01-11,,,,,,,
3354,3145,True,unknown,,2021-05-11,,Request_CheckIDAddressPhoneDOB,2021-05-11,,,,,,,,
3355,2305,True,unknown,,2019-07-14,2019-07-15,regular,2019-07-15,2020-07-15,,,,,,,
3356,3679,True,unknown,,2022-05-01,,Request_CheckIDAddressPhoneDOB,2022-05-01,,,,,,,,
